source,title,abstract,authors,published_date,categories,doi,url,paper_id,word_count,journal,pubmed_id,ai_generated
arxiv,"Rethinking Memory in AI: Taxonomy, Operations, Topics, and Future Directions","Memory is a fundamental component of AI systems, underpinning large language
models (LLMs) based agents. While prior surveys have focused on memory
applications with LLMs, they often overlook the atomic operations that underlie
memory dynamics. In this survey, we first categorize memory representations
into parametric, contextual structured, and contextual unstructured and then
introduce six fundamental memory operations: Consolidation, Updating, Indexing,
Forgetting, Retrieval, and Compression. We systematically map these operations
to the most relevant research topics across long-term, long-context, parametric
modification, and multi-source memory. By reframing memory systems through the
lens of atomic operations and representation types, this survey provides a
structured and dynamic perspective on research, benchmark datasets, and tools
related to memory in AI, clarifying the functional interplay in LLMs based
agents while outlining promising directions for future research\footnote{The
paper list, datasets, methods and tools are available at
\href{https://github.com/Elvin-Yiming-Du/Survey_Memory_in_AI}{https://github.com/Elvin-Yiming-Du/Survey\_Memory\_in\_AI}.}.",Yiming Du; Wenyu Huang; Danna Zheng; Zhaowei Wang; Sebastien Montella; Mirella Lapata; Kam-Fai Wong; Jeff Z. Pan,01/05/2025,cs.CL,,http://arxiv.org/pdf/2505.00675v1,http://arxiv.org/abs/2505.00675v1,140,,,0
arxiv,Multi-Constraint Safe Reinforcement Learning via Closed-form Solution for Log-Sum-Exp Approximation of Control Barrier Functions,"The safety of training task policies and their subsequent application using
reinforcement learning (RL) methods has become a focal point in the field of
safe RL. A central challenge in this area remains the establishment of
theoretical guarantees for safety during both the learning and deployment
processes. Given the successful implementation of Control Barrier Function
(CBF)-based safety strategies in a range of control-affine robotic systems,
CBF-based safe RL demonstrates significant promise for practical applications
in real-world scenarios. However, integrating these two approaches presents
several challenges. First, embedding safety optimization within the RL training
pipeline requires that the optimization outputs be differentiable with respect
to the input parameters, a condition commonly referred to as differentiable
optimization, which is non-trivial to solve. Second, the differentiable
optimization framework confronts significant efficiency issues, especially when
dealing with multi-constraint problems. To address these challenges, this paper
presents a CBF-based safe RL architecture that effectively mitigates the issues
outlined above. The proposed approach constructs a continuous AND logic
approximation for the multiple constraints using a single composite CBF. By
leveraging this approximation, a close-form solution of the quadratic
programming is derived for the policy network in RL, thereby circumventing the
need for differentiable optimization within the end-to-end safe RL pipeline.
This strategy significantly reduces computational complexity because of the
closed-form solution while maintaining safety guarantees. Simulation results
demonstrate that, in comparison to existing approaches relying on
differentiable optimization, the proposed method significantly reduces training
computational costs while ensuring provable safety throughout the training
process.",Chenggang Wang; Xinyi Wang; Yutong Dong; Lei Song; Xinping Guan,01/05/2025,cs.RO; cs.SY; eess.SY,,http://arxiv.org/pdf/2505.00671v1,http://arxiv.org/abs/2505.00671v1,248,,,0
arxiv,Deep Reinforcement Learning for Urban Air Quality Management: Multi-Objective Optimization of Pollution Mitigation Booth Placement in Metropolitan Environments,"Urban air pollution remains a pressing global concern, particularly in
densely populated and traffic-intensive metropolitan areas like Delhi, where
exposure to harmful pollutants severely impacts public health. Delhi, being one
of the most polluted cities globally, experiences chronic air quality issues
due to vehicular emissions, industrial activities, and construction dust, which
exacerbate its already fragile atmospheric conditions. Traditional pollution
mitigation strategies, such as static air purifying installations, often fail
to maximize their impact due to suboptimal placement and limited adaptability
to dynamic urban environments. This study presents a novel deep reinforcement
learning (DRL) framework to optimize the placement of air purification booths
to improve the air quality index (AQI) in the city of Delhi. We employ Proximal
Policy Optimization (PPO), a state-of-the-art reinforcement learning algorithm,
to iteratively learn and identify high-impact locations based on multiple
spatial and environmental factors, including population density, traffic
patterns, industrial influence, and green space constraints. Our approach is
benchmarked against conventional placement strategies, including random and
greedy AQI-based methods, using multi-dimensional performance evaluation
metrics such as AQI improvement, spatial coverage, population and traffic
impact, and spatial entropy. Experimental results demonstrate that the RL-based
approach outperforms baseline methods by achieving a balanced and effective
distribution of air purification infrastructure. Notably, the DRL framework
achieves an optimal trade-off between AQI reduction and high-coverage
deployment, ensuring equitable environmental benefits across urban regions. The
findings underscore the potential of AI-driven spatial optimization in
advancing smart city initiatives and data-driven urban air quality management.",Kirtan Rajesh; Suvidha Rupesh Kumar,01/05/2025,cs.CV; cs.AI; cs.LG,,http://arxiv.org/pdf/2505.00668v1,http://arxiv.org/abs/2505.00668v1,244,,,0
arxiv,Wasserstein Policy Optimization,"We introduce Wasserstein Policy Optimization (WPO), an actor-critic algorithm
for reinforcement learning in continuous action spaces. WPO can be derived as
an approximation to Wasserstein gradient flow over the space of all policies
projected into a finite-dimensional parameter space (e.g., the weights of a
neural network), leading to a simple and completely general closed-form update.
The resulting algorithm combines many properties of deterministic and classic
policy gradient methods. Like deterministic policy gradients, it exploits
knowledge of the gradient of the action-value function with respect to the
action. Like classic policy gradients, it can be applied to stochastic policies
with arbitrary distributions over actions -- without using the
reparameterization trick. We show results on the DeepMind Control Suite and a
magnetic confinement fusion task which compare favorably with state-of-the-art
continuous control methods.",David Pfau; Ian Davies; Diana Borsa; Joao G. M. Araujo; Brendan Tracey; Hado van Hasselt,01/05/2025,cs.LG; cs.AI,,http://arxiv.org/pdf/2505.00663v1,http://arxiv.org/abs/2505.00663v1,131,,,0
arxiv,DeepCritic: Deliberate Critique with Large Language Models,"As Large Language Models (LLMs) are rapidly evolving, providing accurate
feedback and scalable oversight on their outputs becomes an urgent and critical
problem. Leveraging LLMs as critique models to achieve automated supervision is
a promising solution. In this work, we focus on studying and enhancing the math
critique ability of LLMs. Current LLM critics provide critiques that are too
shallow and superficial on each step, leading to low judgment accuracy and
struggling to offer sufficient feedback for the LLM generator to correct
mistakes. To tackle this issue, we propose a novel and effective two-stage
framework to develop LLM critics that are capable of deliberately critiquing on
each reasoning step of math solutions. In the first stage, we utilize
Qwen2.5-72B-Instruct to generate 4.5K long-form critiques as seed data for
supervised fine-tuning. Each seed critique consists of deliberate step-wise
critiques that includes multi-perspective verifications as well as in-depth
critiques of initial critiques for each reasoning step. Then, we perform
reinforcement learning on the fine-tuned model with either existing
human-labeled data from PRM800K or our automatically annotated data obtained
via Monte Carlo sampling-based correctness estimation, to further incentivize
its critique ability. Our developed critique model built on Qwen2.5-7B-Instruct
not only significantly outperforms existing LLM critics (including the
same-sized DeepSeek-R1-distill models and GPT-4o) on various error
identification benchmarks, but also more effectively helps the LLM generator
refine erroneous steps through more detailed feedback.",Wenkai Yang; Jingwen Chen; Yankai Lin; Ji-Rong Wen,01/05/2025,cs.CL; cs.AI; cs.LG,,http://arxiv.org/pdf/2505.00662v1,http://arxiv.org/abs/2505.00662v1,229,,,0
arxiv,On the generalization of language models from in-context learning and finetuning: a controlled study,"Large language models exhibit exciting capabilities, yet can show
surprisingly narrow generalization from finetuning -- from failing to
generalize to simple reversals of relations they are trained on, to missing
logical deductions that can be made from trained information. These failures to
generalize from fine-tuning can hinder practical application of these models.
However, language models' in-context learning shows different inductive biases,
and can generalize better in some of these cases. Here, we explore these
differences in generalization between in-context- and fine-tuning-based
learning. To do so, we constructed several novel datasets to evaluate and
improve models' ability to generalize from finetuning data. The datasets are
constructed to isolate the knowledge in the dataset from that in pretraining,
to create clean tests of generalization. We expose pretrained large models to
controlled subsets of the information in these datasets -- either in context,
or through fine-tuning -- and evaluate their performance on test sets that
require various types of generalization. We find overall that in data-matched
settings, in-context learning can generalize more flexibly than fine-tuning
(though we also find some qualifications of prior findings, such as cases when
fine-tuning can generalize to reversals embedded in a larger structure of
knowledge). We build on these findings to propose a method to enable improved
generalization from fine-tuning: adding in-context inferences to finetuning
data. We show that this method improves generalization across various splits of
our datasets and other benchmarks. Our results have implications for
understanding the inductive biases of different modes of learning in language
models, and practically improving their performance.",Andrew K. Lampinen; Arslan Chaudhry; Stephanie C. Y. Chan; Cody Wild; Diane Wan; Alex Ku; Jörg Bornschein; Razvan Pascanu; Murray Shanahan; James L. McClelland,01/05/2025,cs.CL; cs.AI; cs.LG,,http://arxiv.org/pdf/2505.00661v1,http://arxiv.org/abs/2505.00661v1,256,,,0
arxiv,RIS Partitioning and User Clustering for Resilient Non-Orthogonal Multiple Access UAV Networks,"The integration of reconfigurable intelligent surfaces (RISs) and unmanned
aerial vehicles (UAVs) has emerged as a promising solution for enhancing
connectivity in future wireless networks. This paper designs well-connected and
resilient UAV networks by deploying and virtually partitioning multiple RISs to
create multiple RIS-aided links, focusing on a link-layer perspective. The
RIS-aided links are created to connect user equipment (UE) to blocked and
reliable UAVs, where multiple UEs can transmit to same UAV via RIS using
non-orthogonal multiple access (NOMA), granting access to UEs and maximizing
network connectivity. We first derive exact and approximated closed-form
expressions for signal-to-interference plus noise ratio (SINR) based on aligned
and non-aligned RIS-aided beams. Then, we propose to formulate the problem of
maximizing network connectivity that jointly considers (i) UE NOMA clustering,
(ii) RIS-aided link selection, and (ii) virtual RIS partitioning. This problem
is a computationally expensive combinatorial optimization. To tackle this
problem, a two-step iterative approach, called RIS-aided NOMA, is proposed. In
the first step, the UEs are clustered to the RISs according to their channel
gains, while UAVs are associated to those generated clusters based on their
reliability, which measures the criticality of UAVs. The second step optimally
partitions the RISs to support each of the cluster members. In this step, we
derive the closed-form equations for the optimal partitioning of RISs within
the clusters. Simulation results demonstrate that the proposed RIS-aided NOMA
yields a gain of 30% to 40%, respectively, compared to UAV traditional scheme.
The finding emphasizes the potential of integrating RIS with UAV communications
as a robust and reliable connectivity solution for future wireless
communication systems.",Mohammed Saif; Shahrokh Valaee,01/05/2025,cs.IT; eess.SP; math.IT,,http://arxiv.org/pdf/2505.00658v1,http://arxiv.org/abs/2505.00658v1,266,,,0
arxiv,The local coupling of noise technique and its application to lower error bounds for strong approximation of SDEs with irregular coefficients,"In recent years, interest in approximation methods for stochastic
differential equations (SDEs) with non-Lipschitz continuous coefficients has
increased. We show lower bounds for the $L^p$-error of such methods in the case
of approximation at a single point in time or globally in time. On the one
hand, we show that for a large class of piecewise Lipschitz continuous drifts
and non-additive diffusions the best possible $L^p$-error rate for final time
approximation that can be achieved by any method based on finitely many
evaluations of the driving Brownian motion is at most $3/4$, which was
previously known only for additive diffusions. Moreover, we show that the best
$L^p$-error rate for global approximation that can be achieved by any method
based on finitely many evaluations of the driving Brownian motion is at most
$1/2$ when the drift is locally bounded and the diffusion is locally Lipschitz
continuous.
  For the derivation of the lower bounds we introduce a new method of proof:
the local coupling of noise technique. Using this technique when approximating
a solution $X$ of the SDE at the final time, a lower bound for the $L^p$-error
of any approximation method based on evaluations of the driving Brownian motion
at the points $t_1 < \dots < t_n$ can be determined by the $L^p$-distances of
solutions of the same SDE on $[t_{i-1}, t_i]$ with initial values $X_{t_{i-1}}$
and driving Brownian motions that are coupled at $t_{i-1}, t_i$ and
independent, conditioned on the values of the Brownian motion at $t_{i-1},
t_i$.",Simon Ellinger,01/05/2025,"math.PR; cs.NA; math.NA; 65C30, 65C20 (Primary), 60H10 (Secondary)",,http://arxiv.org/pdf/2505.00656v1,http://arxiv.org/abs/2505.00656v1,248,,,0
arxiv,Why the hyperbolic polaritons are hyperbolic?,"Polaritons travelling along a hyperbolic medium's surface have recently
sparked significant interest in nanophotonics for the unprecedented
manipulation ability on light at the nanoscale in a planar way, promising
potential nano-optical applications, especially in two-dimensional circuitry.
Despite of being named hyperbolic polaritons, the hyperbolic nature has not
been thoroughly revealed since an analytical description of the Iso-frequency
contour is still elusive. In this work, we proposed an analytical form for
describing the iso-frequency contour of the hyperbolic polaritons, showcasing
their strictly hyperbolic nature. Such an analytical form is obtained based on
the focusing behavior of the hyperbolic polaritons and verified by both the
published data from commonly used hyperbolic media systems of the hyperbolic
polaritons and our own experimental characterizations on a hyperbolic
metamaterial film. By presenting a concise and intuitive physical image, this
work may provide a groundbreaking methodology in developing novel hyperbolic
polaritons based optical devices.",Xiaoyu Xiong; Le Zhou; Yihang Fan; Weipeng Wang; Yongzheng Wen; Yang Shen; Zhengjun Zhang; Jingbo Sun; Ji Zhou,01/05/2025,physics.optics,,http://arxiv.org/pdf/2505.00655v1,http://arxiv.org/abs/2505.00655v1,148,,,0
arxiv,Large Language Models Understanding: an Inherent Ambiguity Barrier,"A lively ongoing debate is taking place, since the extraordinary emergence of
Large Language Models (LLMs) with regards to their capability to understand the
world and capture the meaning of the dialogues in which they are involved.
Arguments and counter-arguments have been proposed based upon thought
experiments, anecdotal conversations between LLMs and humans, statistical
linguistic analysis, philosophical considerations, and more. In this brief
paper we present a counter-argument based upon a thought experiment and
semi-formal considerations leading to an inherent ambiguity barrier which
prevents LLMs from having any understanding of what their amazingly fluent
dialogues mean.",Daniel N. Nissani,01/05/2025,cs.CL; cs.AI,,http://arxiv.org/pdf/2505.00654v1,http://arxiv.org/abs/2505.00654v1,96,,,0
arxiv,On the exponents of distribution of primes and smooth numbers,"We show that both primes and smooth numbers are equidistributed in arithmetic
progressions to moduli up to $x^{5/8 - o(1)}$, using triply-well-factorable
weights for the primes (we also get improvements for the well-factorable linear
sieve weights). This completely eliminates the dependency on Selberg's
eigenvalue conjecture in previous works of Lichtman and the author, which built
in turn on results of Maynard and Drappeau. We rely on recent large sieve
inequalities for exceptional Maass forms of the author for
additively-structured sequences, and on a related result of Watt for
multiplicatively-structured sequences. As applications, we prove refined upper
bounds for the counts of twin primes and consecutive smooth numbers up to $x$.",Alexandru Pascadi,01/05/2025,"math.NT; 11N05 (Primary), 11N25, 11N75",,http://arxiv.org/pdf/2505.00653v1,http://arxiv.org/abs/2505.00653v1,110,,,0
arxiv,Open-Source LLM-Driven Federated Transformer for Predictive IoV Management,"The proliferation of connected vehicles within the Internet of Vehicles (IoV)
ecosystem presents critical challenges in ensuring scalable, real-time, and
privacy-preserving traffic management. Existing centralized IoV solutions often
suffer from high latency, limited scalability, and reliance on proprietary
Artificial Intelligence (AI) models, creating significant barriers to
widespread deployment, particularly in dynamic and privacy-sensitive
environments. Meanwhile, integrating Large Language Models (LLMs) in vehicular
systems remains underexplored, especially concerning prompt optimization and
effective utilization in federated contexts. To address these challenges, we
propose the Federated Prompt-Optimized Traffic Transformer (FPoTT), a novel
framework that leverages open-source LLMs for predictive IoV management. FPoTT
introduces a dynamic prompt optimization mechanism that iteratively refines
textual prompts to enhance trajectory prediction. The architecture employs a
dual-layer federated learning paradigm, combining lightweight edge models for
real-time inference with cloud-based LLMs to retain global intelligence. A
Transformer-driven synthetic data generator is incorporated to augment training
with diverse, high-fidelity traffic scenarios in the Next Generation Simulation
(NGSIM) format. Extensive evaluations demonstrate that FPoTT, utilizing
EleutherAI Pythia-1B, achieves 99.86% prediction accuracy on real-world data
while maintaining high performance on synthetic datasets. These results
underscore the potential of open-source LLMs in enabling secure, adaptive, and
scalable IoV management, offering a promising alternative to proprietary
solutions in smart mobility ecosystems.",Yazan Otoum; Arghavan Asad; Ishtiaq Ahmad,01/05/2025,cs.AI; cs.ET; cs.LG,,http://arxiv.org/pdf/2505.00651v1,http://arxiv.org/abs/2505.00651v1,207,,,0
arxiv,OmicsCL: Unsupervised Contrastive Learning for Cancer Subtype Discovery and Survival Stratification,"Unsupervised learning of disease subtypes from multi-omics data presents a
significant opportunity for advancing personalized medicine. We introduce
OmicsCL, a modular contrastive learning framework that jointly embeds
heterogeneous omics modalities-such as gene expression, DNA methylation, and
miRNA expression-into a unified latent space. Our method incorporates a
survival-aware contrastive loss that encourages the model to learn
representations aligned with survival-related patterns, without relying on
labeled outcomes. Evaluated on the TCGA BRCA dataset, OmicsCL uncovers
clinically meaningful clusters and achieves strong unsupervised concordance
with patient survival. The framework demonstrates robustness across
hyperparameter configurations and can be tuned to prioritize either subtype
coherence or survival stratification. Ablation studies confirm that integrating
survival-aware loss significantly enhances the predictive power of learned
embeddings. These results highlight the promise of contrastive objectives for
biological insight discovery in high-dimensional, heterogeneous omics data.",Atahan Karagoz,01/05/2025,cs.LG; cs.AI; q-bio.GN; q-bio.QM,,http://arxiv.org/pdf/2505.00650v1,http://arxiv.org/abs/2505.00650v1,135,,,0
